================ Training Loss (Mon Jun  7 02:43:15 2021) ================
(epoch: 15, iters: 200, time: 0.523, data: 0.002) D_A: 0.004 G_A: 1.070 cycle_A: 0.451 idt_A: 0.885 D_B: 0.002 G_B: 0.967 cycle_B: 1.253 idt_B: 0.574 
(epoch: 16, iters: 100, time: 0.526, data: 0.311) D_A: 0.008 G_A: 1.054 cycle_A: 1.638 idt_A: 0.562 D_B: 0.003 G_B: 1.108 cycle_B: 1.739 idt_B: 0.776 
(epoch: 16, iters: 200, time: 0.526, data: 0.003) D_A: 0.009 G_A: 1.103 cycle_A: 0.692 idt_A: 1.029 D_B: 0.004 G_B: 0.997 cycle_B: 1.600 idt_B: 0.596 
(epoch: 17, iters: 100, time: 0.523, data: 0.197) D_A: 0.013 G_A: 0.827 cycle_A: 1.775 idt_A: 0.342 D_B: 0.005 G_B: 1.008 cycle_B: 0.817 idt_B: 0.768 
(epoch: 17, iters: 200, time: 0.526, data: 0.002) D_A: 0.004 G_A: 0.984 cycle_A: 1.137 idt_A: 0.931 D_B: 0.031 G_B: 1.057 cycle_B: 1.974 idt_B: 0.326 
(epoch: 18, iters: 100, time: 0.528, data: 0.289) D_A: 0.007 G_A: 0.927 cycle_A: 2.872 idt_A: 0.397 D_B: 0.010 G_B: 0.948 cycle_B: 0.858 idt_B: 2.142 
(epoch: 18, iters: 200, time: 0.524, data: 0.002) D_A: 0.016 G_A: 0.517 cycle_A: 1.710 idt_A: 0.567 D_B: 0.012 G_B: 1.017 cycle_B: 1.990 idt_B: 1.398 
(epoch: 19, iters: 100, time: 0.524, data: 0.264) D_A: 0.040 G_A: 0.965 cycle_A: 1.494 idt_A: 1.205 D_B: 0.005 G_B: 1.069 cycle_B: 1.946 idt_B: 0.505 
(epoch: 19, iters: 200, time: 0.526, data: 0.002) D_A: 0.013 G_A: 1.143 cycle_A: 0.566 idt_A: 0.607 D_B: 0.016 G_B: 1.064 cycle_B: 1.923 idt_B: 0.506 
(epoch: 20, iters: 100, time: 0.524, data: 0.304) D_A: 0.020 G_A: 0.710 cycle_A: 1.424 idt_A: 0.470 D_B: 0.002 G_B: 0.960 cycle_B: 1.280 idt_B: 0.431 
(epoch: 20, iters: 200, time: 0.524, data: 0.002) D_A: 0.009 G_A: 0.785 cycle_A: 0.681 idt_A: 0.328 D_B: 0.002 G_B: 1.002 cycle_B: 1.416 idt_B: 0.411 
(epoch: 21, iters: 100, time: 0.524, data: 0.203) D_A: 0.015 G_A: 0.814 cycle_A: 0.642 idt_A: 1.544 D_B: 0.003 G_B: 0.967 cycle_B: 1.515 idt_B: 0.521 
(epoch: 21, iters: 200, time: 0.526, data: 0.002) D_A: 0.008 G_A: 1.129 cycle_A: 1.664 idt_A: 0.505 D_B: 0.115 G_B: 0.930 cycle_B: 1.364 idt_B: 0.855 
(epoch: 22, iters: 100, time: 0.522, data: 0.265) D_A: 0.012 G_A: 0.819 cycle_A: 1.601 idt_A: 0.754 D_B: 0.001 G_B: 1.049 cycle_B: 1.289 idt_B: 0.554 
(epoch: 22, iters: 200, time: 0.525, data: 0.002) D_A: 0.008 G_A: 0.793 cycle_A: 0.730 idt_A: 1.056 D_B: 0.005 G_B: 0.959 cycle_B: 1.864 idt_B: 0.597 
